id,texto,falacias_encontradas,resposta
1,"Esse cara mentiu. Deixe eu falar pra vocês, esse cara mentiu sobre Ben Carson quando ele tirou os votos do Ben Carson em Iowa. E ele continua. Esse cara vai falar qualquer coisa. Cara nojento. Agora eu sei porque ele não tem patrocínios de nenhum dos seus colegas.","Ad Hominem, Generalização Apressada, Apelo à Emoção","Falacias: Ad Hominem, Generalização Apressada, Apelo à Emoção; Explicacao: O texto ataca a pessoa com insultos e desqualificações ('mentiu', 'nojento', 'não tem patrocínios'), generaliza seu comportamento com base em um incidente ('vai falar qualquer coisa') e usa linguagem emotiva para descreditar."
2,Pessoa A: Acho que precisamos discutir formas de reduzir o número de armas em circulação no Brasil. Pessoa B: Então você quer desarmar completamente a população e deixar os cidadãos indefesos contra criminosos?,"Ladeira Escorregadia, Apelo à Emoção, Espantalho","Falacias: Espantalho, Ladeira Escorregadia, Apelo à Emoção; Explicacao: Pessoa B distorce a proposta de Pessoa A (""discutir formas de reduzir"") transformando-a em uma posição mais radical e fácil de atacar (""desarmar completamente"" - Espantalho), sugere que essa ação inicial levará inevitavelmente a um desfecho negativo extremo (""deixar os cidadãos indefesos"" - Ladeira Escorregadia) e usa o medo para manipular a audiência (Apelo à Emoção)."
3,"Se você ama de verdade o Brasil e se importa com o futuro dos seus filhos, precisa protestar contra essa PEC que tenta blindar os parlamentares. Ficar calado agora é trair a nação e deixar que destruam o país.","Falso Dilema, Apelo à Emoção","Falacias: Apelo à Emoção, Falso Dilema; Explicacao: O texto apela para o patriotismo e o cuidado com os filhos (Apelo à Emoção) para persuadir, e depois apresenta apenas duas opções extremas (protestar ou trair a nação), ignorando outras possibilidades (Falso Dilema)."
5,"Fui pra França no Natal, minha experiência lá com os franceses foi horrível. Até fui roubada quando visitei o museu do Louvre. Quando for pra Europa, saiba que a França é linda, mas os franceses são arrogantes e ladrões.","Generalização Apressada, Apelo à Emoção","Falacias: Generalização Apressada, Apelo à Emoção; Explicacao: A conclusão de que ""os franceses são arrogantes e ladrões"" é feita a partir de uma única experiência pessoal e limitada (Generalização Apressada); a descrição da experiência ""horrível"" e de ter sido ""roubada"" busca manipular a emoção do leitor para aceitar essa generalização (Apelo à Emoção)."
8,"Se começarmos a reduzir a jornada de trabalho e acabar com o regime 6x1, logo as empresas não vão conseguir se manter, o desemprego vai aumentar e a economia vai desabar",Ladeira Escorregadia,"Falacias: Ladeira Escorregadia; Explicacao: O texto argumenta que uma ação inicial (redução da jornada de trabalho) levará inevitavelmente a uma série de consequências negativas cada vez maiores, culminando no colapso da economia, sem apresentar provas suficientes para essa inevitabilidade."
12,Quem defende que o governo deve investir mais em ciência está apenas querendo gastar dinheiro público sem retorno real.,"Ad Hominem, Espantalho","Falacias: Espantalho, Ad Hominem; Explicacao: O texto distorce o argumento de ""investir mais em ciência"" para ""querer gastar dinheiro público sem retorno real"" (Espantalho), e ataca a motivação das pessoas que defendem o investimento em ciência, imputando-lhes a intenção de desperdício (Ad Hominem)."
14,Ou você apoia a 'limpa' que foi feita no morro do Alemão ou está do lado dos criminosos que destroem famílias. Pense nas mães que perderam seus filhos! Quem se opõe a essa medida claramente não tem compaixão pelo sofrimento das reais vítimas.,"Ad Hominem, Falso Dilema, Apelo à Emoção","Falacias: Falso Dilema, Apelo à Emoção, Ad Hominem; Explicacao: O texto impõe duas opções extremas como as únicas possíveis, apela às emoções sobre o sofrimento das mães e ataca a compaixão de quem se opõe à medida."
17,"Quem critica a privatização é um preguiçoso que nunca produziu nada. Ou você apoia o livre mercado e o progresso, ou quer ver o país afundar na miséria.","Ad Hominem, Falso Dilema, Apelo à Emoção","Falacias: Ad Hominem, Falso Dilema, Apelo à Emoção; Explicacao: O texto ataca o caráter dos críticos da privatização (Ad Hominem), apresenta apenas duas opções extremas como se fossem as únicas (Falso Dilema) e usa o medo de ""afundar na miséria"" para manipular (Apelo à Emoção)."
19,"Os acontecimentos no Nepal e agora no México mostram de forma clara que ou o Brasil regula as redes sociais ou seremos alvo de um golpe digital, tal qual está ocorrendo pelo mundo todo.","Ladeira Escorregadia, Generalização Apressada, Falso Dilema, Apelo à Emoção","Falacias: Falso Dilema, Ladeira Escorregadia, Generalização Apressada, Apelo à Emoção; Explicacao: O texto apresenta apenas duas opções extremas (Falso Dilema), sugere uma cadeia inevitável de eventos negativos (Ladeira Escorregadia), generaliza uma ameaça global a partir de poucos exemplos (Generalização Apressada) e usa a ameaça de ""golpe digital"" para gerar medo (Apelo à Emoção)."
20,"Pessoa A: Precisamos reduzir o consumo de carne para ajudar o planeta. Pessoa B: Então você quer acabar com os churrascos, fechar fazendas e destruir a economia rural? Se isso acontecer, o país vai quebrar.","Ladeira Escorregadia, Apelo à Emoção, Espantalho","Falacias: Espantalho, Ladeira Escorregadia, Apelo à Emoção; Explicacao: Pessoa B distorce a proposta de Pessoa A (Espantalho), argumenta que isso levará a uma série de consequências negativas e inevitáveis (Ladeira Escorregadia), e usa o medo da falência do país para manipular a resposta (Apelo à Emoção)."
