id,texto,falacias_encontradas,resposta
1,"Esse cara mentiu. Deixe eu falar pra vocês, esse cara mentiu sobre Ben Carson quando ele tirou os votos do Ben Carson em Iowa. E ele continua. Esse cara vai falar qualquer coisa. Cara nojento. Agora eu sei porque ele não tem patrocínios de nenhum dos seus colegas.","Ad Hominem, Generalização Apressada","Falacias: Ad Hominem, Generalização Apressada; Explicacao: O texto ataca a pessoa diretamente com insultos e alegações sobre seu caráter (""nojento"", ""vai falar qualquer coisa"") em vez de seus argumentos (Ad Hominem). Também faz uma afirmação generalizada sobre o comportamento futuro da pessoa (""Esse cara vai falar qualquer coisa"") baseada em incidentes passados (Generalização Apressada)."
2,Pessoa A: Acho que precisamos discutir formas de reduzir o número de armas em circulação no Brasil. Pessoa B: Então você quer desarmar completamente a população e deixar os cidadãos indefesos contra criminosos?,"Falso Dilema, Apelo à Emoção, Espantalho","Falacias: Espantalho, Apelo à Emoção, Falso Dilema; Explicacao: Pessoa B distorce a proposta de Pessoa A para um extremo irrealista (Espantalho), usa linguagem que evoca medo para atacar a ideia distorcida (Apelo à Emoção) e apresenta essa distorção como a única consequência possível (Falso Dilema)."
3,"Se você ama de verdade o Brasil e se importa com o futuro dos seus filhos, precisa protestar contra essa PEC que tenta blindar os parlamentares. Ficar calado agora é trair a nação e deixar que destruam o país.","Falso Dilema, Apelo à Emoção","Falacias: Apelo à Emoção, Falso Dilema; Explicacao: A frase apela para o amor ao Brasil e preocupação com os filhos (Apelo à Emoção) para pressionar o leitor, e apresenta apenas duas opções extremas (protestar ou trair a nação), ignorando outras possibilidades (Falso Dilema)."
5,"Fui pra França no Natal, minha experiência lá com os franceses foi horrível. Até fui roubada quando visitei o museu do Louvre. Quando for pra Europa, saiba que a França é linda, mas os franceses são arrogantes e ladrões.",Generalização Apressada,Falacias: Generalização Apressada; Explicacao: O autor tira uma conclusão abrangente sobre todos os franceses (são arrogantes e ladrões) baseando-se em apenas uma experiência pessoal negativa e um único incidente de roubo.
8,"Se começarmos a reduzir a jornada de trabalho e acabar com o regime 6x1, logo as empresas não vão conseguir se manter, o desemprego vai aumentar e a economia vai desabar","Ladeira Escorregadia, Apelo à Emoção","Falacias: Ladeira Escorregadia, Apelo à Emoção; Explicacao: O texto assume que uma pequena mudança levará inevitavelmente a uma série de consequências desastrosas (Ladeira Escorregadia) e usa o medo dessas consequências (desemprego, economia desabar) para persuadir (Apelo à Emoção)."
12,Quem defende que o governo deve investir mais em ciência está apenas querendo gastar dinheiro público sem retorno real.,"Generalização Apressada, Espantalho","Falacias: Espantalho, Generalização Apressada; Explicacao: A fala distorce o argumento de quem defende investimento em ciência, atribuindo-lhes a intenção de apenas gastar dinheiro público sem retorno real (Espantalho), e generaliza essa motivação negativa para todo o grupo de defensores (Generalização Apressada)."
14,Ou você apoia a 'limpa' que foi feita no morro do Alemão ou está do lado dos criminosos que destroem famílias. Pense nas mães que perderam seus filhos! Quem se opõe a essa medida claramente não tem compaixão pelo sofrimento das reais vítimas.,"Ad Hominem, Falso Dilema, Apelo à Emoção","Falacias: Falso Dilema, Apelo à Emoção, Ad Hominem; Explicacao: O texto apresenta um falso dilema ao propor apenas duas opções extremas. Faz um apelo à emoção ao invocar o sofrimento das mães para persuadir. Por fim, usa ad hominem ao desqualificar os oponentes por suposta falta de compaixão."
17,"Quem critica a privatização é um preguiçoso que nunca produziu nada. Ou você apoia o livre mercado e o progresso, ou quer ver o país afundar na miséria.","Ad Hominem, Generalização Apressada, Falso Dilema, Apelo à Emoção","Falacias: Ad Hominem, Generalização Apressada, Falso Dilema, Apelo à Emoção; Explicacao: O texto ataca o caráter dos críticos, generaliza apressadamente sobre eles, apresenta apenas duas opções extremas como se fossem as únicas, e usa o medo para manipular a decisão."
19,"Os acontecimentos no Nepal e agora no México mostram de forma clara que ou o Brasil regula as redes sociais ou seremos alvo de um golpe digital, tal qual está ocorrendo pelo mundo todo.","Ladeira Escorregadia, Generalização Apressada, Falso Dilema, Apelo à Emoção","Falacias: Falso Dilema, Generalização Apressada, Apelo à Emoção, Ladeira Escorregadia; Explicacao: O texto apresenta um falso dilema ao propor apenas duas opções extremas (regular as redes ou sofrer um golpe), faz uma generalização apressada ao concluir que um fenômeno é global baseado em apenas dois exemplos (Nepal e México), usa o apelo à emoção com o termo ""golpe digital"" para evocar medo e urgência, e emprega uma ladeira escorregadia ao afirmar que a falta de regulação levará inevitavelmente a essa catástrofe sem demonstrar a sequência lógica ou a inevitabilidade."
20,"Pessoa A: Precisamos reduzir o consumo de carne para ajudar o planeta. Pessoa B: Então você quer acabar com os churrascos, fechar fazendas e destruir a economia rural? Se isso acontecer, o país vai quebrar.","Ladeira Escorregadia, Espantalho","Falacias: Espantalho, Ladeira Escorregadia; Explicacao: Pessoa B distorce a proposta de Pessoa A para uma versão exagerada e fácil de atacar (Espantalho) e, em seguida, argumenta que essa ação levará a uma série de consequências negativas extremas e inevitáveis (Ladeira Escorregadia)."
33,Pessoa A: acho que precisamos revisar impostos para empresas. Pessoa B: Então você quer destruir o empreendedorismo! E quem apoia isso claramente não tem compaixão pelos trabalhadores que dependem desses empregos.,"Ad Hominem, Apelo à Emoção, Espantalho","Falacias: Espantalho, Apelo à Emoção, Ad Hominem; Explicacao: Pessoa B distorce a proposta de Pessoa A (""revisar impostos"" vira ""destruir o empreendedorismo""), apela às emoções com a menção de ""compaixão pelos trabalhadores"" e ataca o caráter de quem apoia a ideia, sugerindo falta de compaixão."
37,"Se começarmos a liberar protestos em rodovias, logo ninguém conseguirá chegar ao trabalho. Eu vi *um* protesto que parou uma ambulância, então *todos* os protestos vão acabar matando gente.","Ladeira Escorregadia, Generalização Apressada","Falacias: Ladeira Escorregadia, Generalização Apressada; Explicacao: A primeira parte do texto argumenta que permitir protestos levará inevitavelmente a um cenário extremo de paralisação total (Ladeira Escorregadia). A segunda parte generaliza a partir de um único incidente específico (um protesto parando uma ambulância) para concluir que todos os protestos terão o mesmo resultado extremo (Generalização Apressada)."
