id,texto,falacias_encontradas,resposta
1,"Esse cara mentiu. Deixe eu falar pra vocês, esse cara mentiu sobre Ben Carson quando ele tirou os votos do Ben Carson em Iowa. E ele continua. Esse cara vai falar qualquer coisa. Cara nojento. Agora eu sei porque ele não tem patrocínios de nenhum dos seus colegas.",Ad Hominem,"Falacias: Ad Hominem; Explicacao: O texto ataca diretamente o caráter da pessoa (""esse cara mentiu"", ""esse cara vai falar qualquer coisa"", ""Cara nojento"") em vez de refutar seus argumentos ou declarações."
2,Pessoa A: Acho que precisamos discutir formas de reduzir o número de armas em circulação no Brasil. Pessoa B: Então você quer desarmar completamente a população e deixar os cidadãos indefesos contra criminosos?,"Falso Dilema, Apelo à Emoção, Espantalho","Falacias: Espantalho, Falso Dilema, Apelo à Emoção; Explicacao: Pessoa B distorce o argumento de Pessoa A para uma posição extrema (Espantalho), apresenta-o como a única alternativa possível (Falso Dilema) e apela ao medo dos cidadãos para atacar a proposta (Apelo à Emoção)."
3,"Se você ama de verdade o Brasil e se importa com o futuro dos seus filhos, precisa protestar contra essa PEC que tenta blindar os parlamentares. Ficar calado agora é trair a nação e deixar que destruam o país.","Falso Dilema, Apelo à Emoção","Falacias: Apelo à Emoção, Falso Dilema; Explicacao: O texto apela para o patriotismo e o amor pelos filhos para persuadir (Apelo à Emoção), e apresenta apenas duas opções extremas (protestar ou trair a nação) ignorando outras possibilidades (Falso Dilema)."
5,"Fui pra França no Natal, minha experiência lá com os franceses foi horrível. Até fui roubada quando visitei o museu do Louvre. Quando for pra Europa, saiba que a França é linda, mas os franceses são arrogantes e ladrões.",Generalização Apressada,Falacias: Generalização Apressada; Explicacao: O autor tira uma conclusão abrangente sobre todos os franceses (são arrogantes e ladrões) com base em sua experiência pessoal limitada e negativa em uma única viagem.
8,"Se começarmos a reduzir a jornada de trabalho e acabar com o regime 6x1, logo as empresas não vão conseguir se manter, o desemprego vai aumentar e a economia vai desabar",Ladeira Escorregadia,"Falacias: Ladeira Escorregadia; Explicacao: O argumento sugere que uma ação inicial (reduzir a jornada de trabalho) levará inevitavelmente a uma série de consequências negativas extremas (empresas não se manterão, desemprego, economia desabar) sem apresentar evidências suficientes para cada elo dessa cadeia."
12,Quem defende que o governo deve investir mais em ciência está apenas querendo gastar dinheiro público sem retorno real.,"Ad Hominem, Espantalho","Falacias: Ad Hominem, Espantalho; Explicacao: A afirmação distorce o argumento dos defensores de investimento em ciência (Espantalho), apresentando-o como ""querer gastar dinheiro público sem retorno real"", e ataca a motivação dos proponentes ao sugerir que eles ""apenas"" desejam gastar de forma irresponsável (Ad Hominem), em vez de discutir os méritos do investimento."
14,Ou você apoia a 'limpa' que foi feita no morro do Alemão ou está do lado dos criminosos que destroem famílias. Pense nas mães que perderam seus filhos! Quem se opõe a essa medida claramente não tem compaixão pelo sofrimento das reais vítimas.,"Ad Hominem, Falso Dilema, Apelo à Emoção","Falacias: Falso Dilema, Apelo à Emoção, Ad Hominem; Explicacao: O texto apresenta apenas duas opções extremas, usa a emoção para persuadir e ataca o caráter (falta de compaixão) de quem se opõe."
17,"Quem critica a privatização é um preguiçoso que nunca produziu nada. Ou você apoia o livre mercado e o progresso, ou quer ver o país afundar na miséria.","Ad Hominem, Falso Dilema, Apelo à Emoção","Falacias: Ad Hominem, Falso Dilema, Apelo à Emoção; Explicacao: O texto ataca o caráter dos críticos (""preguiçoso""), apresenta apenas duas opções extremas como as únicas possíveis, e usa o medo da ""miséria"" para manipular a audiência."
19,"Os acontecimentos no Nepal e agora no México mostram de forma clara que ou o Brasil regula as redes sociais ou seremos alvo de um golpe digital, tal qual está ocorrendo pelo mundo todo.","Ladeira Escorregadia, Generalização Apressada, Falso Dilema, Apelo à Emoção","Falacias: Generalização Apressada, Falso Dilema, Ladeira Escorregadia, Apelo à Emoção; Explicacao: A generalização é baseada em poucos exemplos (Nepal, México); um falso dilema é criado com apenas duas opções (regular ou sofrer golpe); sugere uma ladeira escorregadia onde a não regulamentação leva a um golpe digital; e usa o medo de um ""golpe digital"" como apelo à emoção."
20,"Pessoa A: Precisamos reduzir o consumo de carne para ajudar o planeta. Pessoa B: Então você quer acabar com os churrascos, fechar fazendas e destruir a economia rural? Se isso acontecer, o país vai quebrar.","Ladeira Escorregadia, Apelo à Emoção, Espantalho","Falacias: Espantalho, Ladeira Escorregadia, Apelo à Emoção; Explicacao: Pessoa B distorce o argumento de Pessoa A (Espantalho), criando uma sequência de eventos negativos e inevitáveis (Ladeira Escorregadia) e usando o medo do colapso econômico para manipular (Apelo à Emoção)."
33,Pessoa A: acho que precisamos revisar impostos para empresas. Pessoa B: Então você quer destruir o empreendedorismo! E quem apoia isso claramente não tem compaixão pelos trabalhadores que dependem desses empregos.,"Ad Hominem, Apelo à Emoção, Espantalho","Falacias: Ad Hominem, Apelo à Emoção, Espantalho; Explicacao: Pessoa B distorce a proposta de Pessoa A (Espantalho), ataca o caráter de quem a apoia (""não tem compaixão"", Ad Hominem) e tenta manipular as emoções do público apelando para a situação dos trabalhadores (Apelo à Emoção)."
37,"Se começarmos a liberar protestos em rodovias, logo ninguém conseguirá chegar ao trabalho. Eu vi *um* protesto que parou uma ambulância, então *todos* os protestos vão acabar matando gente.","Ladeira Escorregadia, Generalização Apressada, Apelo à Emoção","Falacias: Ladeira Escorregadia, Generalização Apressada, Apelo à Emoção; Explicacao: O texto assume uma série de eventos catastróficos inevitáveis a partir de um protesto (Ladeira Escorregadia), tira uma conclusão geral sobre todos os protestos com base em apenas um incidente (Generalização Apressada) e usa o medo da morte para manipular a emoção do ouvinte (Apelo à Emoção)."
